rating,review
5.0,저 평목살은 먹어도 질리지않는맛!!! 홍화돈 밖에 없어서 평목살먹고싶을때 자주와요^^
5.0,여자친구가 고기 땡긴다고 따라갔던곳.... 지금의 저의 단골집입니다......초밥과 고추다데기 김치.. 처음 먹어보는 맛.. 원래는 쌈도 안싸먹고 밥 한공기에 쌈장 마늘만 먹는사람이였는데 신세계 경험하고 왔습니다!! 쵝5
5.0,제가 자주찾는 단골집 항상 만족합니다.
1.0,밬휘볼뤠나와서 직원이 잡아줌코로나 한창 심했을때도 마스크안끼고 서빙 + 고기구워줌
5.0,고기가 너무 먹고싶어서 뚝섬 근처에 맛집이라고 찾아갔는데 너무 맛있었어요!! 평목살과 후삼겹으로 먹었는데 또 생각납니다...❤️ 재방문의사 100%!!!
5.0,고기맛있어요! 또 생각나는 맛입니다 고기질도 너무좋고 밑반찬듀 맛잇어요!ㅎㅎ 직원분들고 너무친절하십니당 ㅎㅎ 자주먹으러갈거같아요^^
5.0,고기먹으러왔는데 평삼겹이라는신메뉴먹었는데 완전꿀맛~
4.0,저녁에 먹은 고기는 맛있었는데 점심이 진짜 별로 ㅠ ..석쇠불고기가 물이 흥건하게 나오다니.. 게다가 깨작거리게 먹게되는 돼지 질감에 먹다남은 고기느낌
1.0,주차가 된다고 하는데 안됨 안내도 없음
5.0,사실 진짜 기대 1도 안하고 들어갔는데 고기가 너무 부드럽고 맛있어서 깜짝 놀랐습니다..밑반찬도 엄청다양하고ㅠㅠ직원분들도 너무 친절하셔서 정말 기분 좋은 식사 하고 왔습니다재방문의사 완전 있어여
5.0,고기맛있네요생 와사비주는것도 마음에들고달달한 검정색 소스도 괜찮았고재방문의사 있습니다!
5.0,알바들이 친절하고 고기도 맛있어요
5.0,친절하고 고기도 맛있음! 곁들여나오는 김치가 정말 신의한수 볶음밥은 not bad
5.0,놀라움. 기대 안했는데 기대이상. 반찬과 고기 모두 만족!
