rating,review
5.0,인테리어는 정말 고급스러워요. 세련된 가구와 조명이 훌륭하게 어우러져 최상의 분위기를 연출해요
5.0,특별한 날에는 이 레스토랑을 꼭 추천하고 싶어요.
5.0,분위기와 맛이 완벽한 조화를 이루는 최고의 레스토랑입니다.
5.0,스테이크의 풍부한 육즙과 고소한 향이 일품이에요.
5.0,스테이크의 풍부한 육즙과 고소한 향이 일품이에요.
1.0,P.J.AB
1.0,"생각보다 너무 별로였어요 파스타는 진짜 아무리 적게 나와도 너무 적어요 다른 파인다이닝이나 스테이크 하우스같은 곳 가도 이정도는 아닌데 유치원생 한 명이 먹어도 적을 양.. 그리고 리조또는 왜이렇게 짠건지 진짜 못 먹겠어서 다 남기고 왔네요.. ㅜㅜ 진짜 너무 짜요 간을 이렇게 못 맞출 수가 있나 이정도 메뉴 판매하는 곳에서..?아저씨들 가는 기사식당도 이렇게 짜진 않을 듯ㅠㅠ 손님이 남기고 가면 먹어보라던 백종원(?) 선생님 말대로 직접 요리하신 음식을 드셔보라고 하고 싶네요.. 그정도로 너무 짰어요 제일 장점은 직원들이 친절하다는 것 ..?사실 성수동이고 1층이라 뷰 좋은 다이닝에 비하면 가격도 비슷하고 큰 메리트는 없는데 맛에 좀 더 신경써야할 듯 해요 진짜 소금만 좀 어떻게 해주세요ㅜㅜ 스테이크가 주라지만 파스타나 리조또도 같이 먹을텐데 이정도면 굳이 여기로 안 오죠,, 근데도 사람은 생각보다 있어서 매우 신기했음 우리것만 짠거였나 ..? 거의 트루먼쇼 같았음 ㅠㅠ 생일 기념으로 갔는데 그냥 짜장면 먹는게 나을 정도"
5.0,스테이크와 파스타 음식 비주얼도 좋고 맛도 좋았어요~그리고 샐러드도 깜놀~굿굿입니다~분위기가 너무 럭셔리하고 좋아서 더욱 기분이 좋아지더라고요간만에 와이프와 좋은 시간 갖었네요^^
1.0,맛: 스테이크 먹었는데 소금을 엄청 뿌려댔는지 짜서 먹을수가 없음 숟가락으로 하나하나 털어서 먹음양: 파스타 양적다길래 얼마나 적나 봤더니 파스타 면 12-3줄 들어있는정도로 한 번씩 덜어내니까 없음.장점: 감자스프가 맛있음 덕분에 돈아깝지 않게 식사함:)별점 블로그에 속지마세요.
4.0,
5.0,"가격이 좀 있지만 분위기, 서비스, 맛 너무 좋았어요!!"
1.0,맛: 쏘쏘 근데 가격에 비해 더 뛰어난 맛은 아니었음분위기 : 괜츈함. 어두운 분위기에 조명으로 음식에 더 집중되게 하려는 의도같아 보임 근데 눈이침침전체평: 일단 초파리가 너무 많이 돌아다녀서 일단 좀 그랬다. 초파리가 왤케 많은건지..바질 파스타 시켰는데 음식 안에서 긴 머리카락 발견. 직원불러서 이야기 했는데 죄송하다는 사과와 음식값을 빼겠다고 이야기 해주는데 음식을 다시 해줄지 아니면 음식값을 빼주거나 다른 음식으료 교체해줄지 등의 옵션은 없음. 대처가 미흡해서 그 장소의 인상이 좋지 않게 기억되게 하며 머리카락이 발견되는 실수를 커버하지 못함
5.0,비싼데... 맛있음... 샐러드 또먹고싶당
1.0,
3.0,
5.0,"기념일에 정말 열심히 알아보고 예약해서 방문했었는데 후회없는 최선의 선택이었어요~~ 분위기가 일단 박살나구요, 맛은 당연히 끝내줍니다~ 꼭 꼭 와보세요!"
1.0,3시 브레이크 타임이라놓고 2시반 전에가도 브레이크 타임라며 쫓아냄. 정보업뎃을 하던가 해야할듯
5.0,24k 금 토마호크를 먹어봤는데 진짜 번쩍한 금이  가득하네요 ... 고기도 너무 부드럽고 맛있었어요!특별한 날에 오기 너무 좋네요샹들리에도 너무 이쁘고 분위기 있어요직원분들도 너무 친절하고 좋았네요
1.0,"스테이크는 3.5점(패밀리레스토랑급에 금박만), 파스타는1점(매운 봉골레 탕면인줄), 샐러드3점...서비스는 0점(첨본 동네 형 대하듯 불친절...최악입니다. 사장님 안계신듯 ㅋㅋ)  광고홍보성 게시글에 속지 마세요...정말 서비스마인드, 교육1도 없는 집이고 식전 빵도 안주는 희한한곳이네요.ㅎㅎㅎ  별점 낮은순으로 후기 보시면 공통점이 있습니다.ㅎㅎ"
4.0,"가격에 비해,, 왜 인기많은지 노이해"
2.0,맛있긴 한데 가격대비는 쏘쏘예요..
5.0,분위기 좋아요 ~
5.0,스튜파스타 진짜 맛잇어요
5.0,맛있고 분위기도 좋고~
5.0,존맛 인정입니다
5.0,분위기가 좋음
5.0,스테이크랑 파스타 먹었는데 맛있었습니다
5.0,분위기도 좋고 음식도 맛있음
5.0,분위기도 미쳤고요 맛도 맛있어요
5.0,이 맛에 이 가격? 비싼 거 아닌 거 같은데요 진짜 맛있어요ㅋㅋㅋ
5.0,맛도 맛인데 연말 파티 신년파티 딱 좋을 거 같네요
5.0,토마호크 스테이크 두번머겅 열번머겅 계속머겅
5.0,분위기도 너무 좋고 음식도 맛있고!
5.0,두번째 방문한곳! 이번에도 역시 맛있네요~
5.0,맛있어요 추천합니다
5.0,외관부터 고급져서 중요한 모임에 좋을것같았어요
5.0,처음보는 종류의 샐러드였는데 맛있더라구요! 샐러드 먹으러 또가고 싶네요
5.0,토마호크 처음먹어보는데 진짜 맛있게 먹었어요
5.0,가격대가 있는것 같지만 특별한날 한번씩 방문하기 좋은곳
5.0,분위기가 너무 좋아서 데이트하면서 술 한잔 하기 딱 좋았어요!
5.0,"스테이크도 진짜 맛있엇고, 직원들이 엄청 친절했습니다. 인테리어도 엄청 맘에들여요!!"
4.0,분위기 좋고조용하고맛은 좋은 편인것 같으나가격대비 음  ㅎㅎ
1.0,이렇게 비싸고 짠 파스타 처음 먹어보네요 ㅠ 웨이터분이 “많이 짠데…덜 짜게 해드릴까요..?”해서 그렇게해달라고 했음에도 진짜 짰습니다. 그리고 이런 파스타가 2.9만원? 어후 다신 안가죠…
2.0,평범한 파스타인거 같은데 가격만 너무 비싸요.
1.0,예전에 방문했었는데 금액대비 정말 아니었던 기억... 먹물 파스타 간 너무 세고 스테이크도 별로.. 어지간해서 리뷰 잘 안 남기는데 솔직히 이정도 평점받을 식당은 아니라 남깁니다.
2.0,고기는 모르겠지만 파스타는이가격이면 차리리 다른데가 나을것같아요맛이 별로..
1.0,맛은 평범. 직원의 말투와 서비스는 아주 불쾌했습니다.
5.0,"인테리어가 쵝오! 포터하우스 존맛탱!!!  그리고 제일 좋은건,사진 찍기 딱좋음ㅎㅎㅎ"
1.0,"맛있다는 평이 많아서 기대했는데, 메인 요리인 스테이크가 너무 별로였어요. 미국 스타일의 스테이크인데 퍽퍽합니다. 가격만 비싼 듯. 굳이 이걸 먹으러 여기까지 올 정도는 절대 아닌 듯."
4.0,분위기도좋고 음식도 맜있게 잘먹었습니다.
1.0,세트 시켰는데.샐러드 파스타 스테이크가 한번에 다 나옴 ㅋㅋㅋㅋ실시간으로 싸늘하게 식어가는 요리들을 즐길 수 있음이 돈 주곤 절대 못 오지...맛은 쏘쏘
1.0,가격대비 완전 별로... 인당 10만원 정도 지불했는데 메인인 고기는 질기고 기름짐. 다른건 그냥 평범해요~ 절대 이가격 주고 먹을 맛은 아님 ㅠㅠ
5.0,
5.0,리뷰 보고 좀 걱정했는데 괜찮았어요~! 좀 비싸긴 했지만 진짜 맛있네요~~ 분위기도 좋고 무엇보다 맛있어서 재방문의사 있습니다~~☺️
1.0,이런 식으로 리뷰 조작해서 소비자의 판단을 흐리게하지말아주세요
4.0,맛있긴 하지만 가격대비 좋은지는 의문…
5.0,우리 커플의 단골집! ㅎㅎㅎ내짝꿍이 넘 좋아해서 일주일에 한번은 꼭 가용
1.0,긴머리 매니저분 너무 불친절… 해요인테리어도 싼느낌
5.0,여자친구랑 다녀왔는데 스테이크 정말 맛있었습니다!! 다음에 꼭 또오고싶은곳!
3.0,먼저나온 에일포레스드샐러드는.. 레어로익힌 슬라이스 홍두께살에 마늘과 겨자로 새콤하게 버무린 샐러드 조화의 맛이 좋앗네요.시그니처스튜봉골레파스타는  닭육수에 비단조개찜의 비린맛이  제 입맛엔..ㅠ 관건인 토마호크..꽃등심 갈비새우살이.. 부위별 식감이틀렷고  함께나온 가니쉬표고버섯구이  그릴맛이 좋앗어요!조명이  무척 어두워   요리색을 확인못하는점과  접시의 기본적인 세팅..  음식의 설명 및 음료제공되지않아 아쉬웟어요  .음식은 맛잇으나 기본적인 서비스는 없어서 실망. 기본서비스가 안되잇고 파스타가 따로놀아  별2개 뺍니다
5.0,토마호크 스테이크 굿셀러드 굿직원들 친절함
5.0,분위기 맛  모두 베리 굿
5.0,성수에서 이만한 식당 찾기 힘들거같음 배불러서 조금만 시켰는데 꽤 만족 서비스도 엄청 나고 음식도 훌륭함 !
5.0,
1.0,음식 간 너무 쎄고 가격대비 너무별로 ㅠ 위치랑 건물이 아까울지경
3.0,
4.0,음식 다 맛있고 분위기도 좋아요 전체적으로 음식 간이 좀 셉니다 리조또 좀 식은 다음에 먹었는데 조금 짰어요 파스타 리조또치고는 가격이 저렴한 편은 아니지만 맛있었어요 데이트코스로 추천
5.0,파티하기 딱! 좋은곳!!음식도 맛있고  프라이빗한 공간도 있고너무 좋아요!!! 송도점은 오픈안하시나요??
5.0,맛있게 먹었습니다 :) !!
5.0,분위기 맛집 다음에 또올께용 ㅎㅎ
1.0,평점 조작 심한 집이네..
4.0,
5.0,"친구들과 오랫만에 행복한 시간 보냈어요~양도 많고 맛있는 토마호크 스테이크에 와인,음악과 분위기까지 빠질 것 없는 저녁이었습니다~!!"
