rating,review
4.0,
3.0,정말…기묘합니다화덕피자는 화덕에서 구워서 평균 이상의 맛인데로제 파스타는 맛없었어요식전에 홍삼 스틱을 주시는 건 신기했습니다
5.0,폭립스테이크? 강추여 파스타는 싱거웠어요 화덕피자도 진짜진짜 맛있어용
5.0,여기 화덕피자 엄청 맛있어요 직원들도 친절하고 파스타도 맛잇어요 ~~인사동 오면 또올래여~~근데피자를안찍엇네...
2.0,유튜브 보고 기대하고 갔는데 좀 실망했어요. 새우가 안 익은 채로 나왔어요. 다행히 어렵지 않게 새로 받았어요. 배탈 안 나길 바랄 뿐이에요. 건물이 오래된 건지 이상한 냄새가 났고 난방이 잘 안돼서 춥게 먹었어요. 특히 화장실에 찬물만 나와서 손 시려웠어요. 겨울에는 추천하지 않아요.
5.0,연말에 급하게 안국 근처에서 약속 장소를 잡다가 맛집이라고 해서 방문했는데 예약이 가능해서 다행이었네요~분위기도 좋고 특히 직원분들이 친절하셔서너무 즐겁고 맛있는 식사 하다가 갑니다^^담에 부모님이랑 가려구요~
1.0,어떤 음식은 너무 짜고 어떤 음식은 너무 싱겁고 리조또는 맛없기 힘든데 리조또가 맛없었어요 위생상태도 별로고 돈 아깝다고 생각한 음식들은 정말 오랜만이네요 사람마다 입맛음 다르겠지만 같이 간 일행들 다 맛없다고 했어요...
2.0,원래 맛집인데 요즘 좀 변한 것 같아요~사장님이 좀 살펴 보셔야 할 듯요2층 서빙 젊은 친구는 화가 나서 하는 듯한 인상이네요격려의 의미 별 두개 입니다
1.0,까르보나라에서 계란거품 맛만 나요. 피자에 뿌려먹는 매운 소스는 또 셔요. 아이셔같아요..•••흑흑‼️‼️
3.0,흠... 생각보다 맛은 별로였어요 스테이크도 질겼구요ㅠㅠ
1.0,"다른 소비자들의 알 권리를 위해 씁니다.돈은 돈대로쓰고 가족들한테 이런데 데려와서 미안하다고 했네요;; 네## 평좋아서 갔다가 직전에 카카오맵 평보고 가지말까하다 그냥 들어간게 어제 최대의 실수.#주문살치살스테이크, 라자냐 시켰는데 둘다 안된다 하더군요. 그래서 다른메뉴 시켰더니 그것도 안된다고. 웃긴건 저녁에 간게 아니라 점심때였음. 등갈비 스테이크 된다하셔서 그걸로 시켰더니 좀이따와서 그것도 안된다고 .. ㅋㅋㅋㅋ 그냥 그때 스테이크는 싹다 안된다 하셨습니다. 시키는거마다 다 안된다 하셔서 굉장히 당황스럽고 황당했습니다. 안되는게 한두개도 아니고 그렇게 많아서야 참 ... 차라리 주문전에 안되는 메뉴 줄줄 외쳐주시는게 피차 시간낭비 안할듯#맛아메리카노 최악. 일행이 먹고는 이게 무슨맛이야? 라고 하더군요. 컴##커피 1500원짜리 아메리카노보다 못함.파스타 먹을때 표정썩음. 이건 배고파서 어쩔수없이 먹는거라 하더군요ㅜ 다른분도 리뷰에 적으셨던데 이상한 냄새가 나요. 가족이 태국만 몇번 갔는데 동남아쪽의, 태국에서 먹은 음식의 향이 난다고 쉐프분이 태국에서 오셨냐 하는데 그런가요?..문어피자 문어빼고먹으면 맛있음피클이랑 콜라가 제일 맛있었습니다. 진심으로 피클맛집임#서비스접시 들고오면서 아 여긴가? 아닌가?하고 다시 들고가심..ㅋㅋ 돈은 돈대로내고 몇천원짜리 식당온 것 같은 저렴한 서비스 원한게 아닌데요.. 정말 너무합니다덕분에 카카오맵 리뷰도 처음 써봅니다. 어느 식당을 가든 왠만하면 그냥 맛있게 기분좋게 먹고 나오는 사람들인데 이건 리뷰를 써야만 하겠더군요"
1.0,
2.0,평범...
1.0,
1.0,네이버 블로거지들 믿지마시길 ㅎ부모님 모시고 갔다가 돈만날림 ㅎㅎ세명에서 스테이크 샐러드 피자 파스타 시켯는데크림새우파스타?ㄴ 하얀 파스타가 아닌 로제 파스타에 크림 섞음 느낌 엄청 싱거워서 새우 내장 특유의 비릿한 맛만 강함 엄청 싱거움프로슈토 샐러드ㄴ 이건 엄청 짜고 나름 본연에 맛을 잘 냈음이 샐러드만 엄청 짜서 파스타에 행궈먹음마르게리타피자ㄴ 맛있음 먹을만함채끝살스테이크ㄴ 미디움레어로 주문했고 생각보다 질김딱 씹었는데 누린내가 엄청 심해서 깜짝놀람스테이크에 쏘스가 있었는데 그 쏘스마져 엄청 싱거움 누린내 나는거에서 깜놀총평: 계산하고 나올때 직원들 제육볶음 같은거에 점심식사 하고있었는데 그거 뺏어먹고 싶을만큼 만족못함 알바생 불친절하다는 평이 많았는데 여자 알바생이였고 굉장히 친절했음돈아까운거야 어짜피 쓰려고했으니 아쉬운건없고부모님 좋은거 먹이고 맛있는거 같이 먹고싶었는데 너무 맛없어서 아쉬웠음 전쟁나서 음식점 다 뿌셔졋다면 재방문할거임
5.0,
2.0,굳이 ..?약간 분위기가 신기하긴 한데 찾아가서 기다릴 만큼 대단한 건 아닌거 같아요. 약간 어르신 (?) 취향입니다. 직원 응대나 음식 나오는데 좀 걸려요
5.0,
3.0,
2.0,맛있는데 직원이 문제 ㅋㅋ그 좀 키큰 저녁에 일하는 분이요~
4.0,"분위기며 가격대며 식사며 매우좋음,직원이 너무바빠 요청사항들을 바로바로 해결해주지 않음.예약해서 가더라도 똑같을듯,빈티지 느낌을 잘살렸음.그래서 그런지 쇼파며 가구들이 갈라져 앉을때거슬림"
1.0,일단 직원이 개판체격있으신분은 그나마 친절하신데저녁타임 다른분 한분메뉴 잘 모르니 면박 주고신경질적으로 응대하고우리 엄마가 내일모레 70세인데음식에 뭐가 들어가는지몰라서 물어보는걸한숨쉬고 면박주고음식주문하고5분여 지나서먹지않고 계산 후나오겠다했습니다.밥먹으러 들어갔다가기분만 상해서 나왔네요고맙습니다장사 번창하세요 사장님어디 나이먹은 사람은무서워서 가겠습니까그리고 직원분일을하기 싫으면 하지마요다른사람 기분까지 망치지 마시고
4.0,봉골레랑 큰 새우 들어간 로제 파스타 맛있게 먹었어요. 조개 해감이 살짝 아쉬웠어요
4.0,분위기 있고 맛있어요
5.0,버섯 피자 최고
5.0,"넓고 안락하며 고풍스러운 인테리어가 돼있어, 다양한 음식들과 함께 친구들과 편안하게 이야기하며 식사할 수 있는 곳이다"
5.0,
3.0,직원분들도 친절하고 가게도 넓직하고 좋았으나 음식맛이...그냥 그래요ㅠㅜ 많이 아쉬운 맛...
5.0,분위기 좋구 맛도좋았어요 ㅎ
5.0,종로 인사동에 이런 맛집이 숨어있는줄 몰랐어요전반적으로 간도 딱 맞고 피클도 수제인게 너무 맘에 들어요특히나 가장 기억에 남는건큰새우가 서있는 파스타를 먹었는데다른곳에서 본적없는 이색적인 파스타를눈으로보고 입으로 즐겨서 기분 UP!곧 닭으로만든 삼계리조또를 하신다는데부모님 모시고 꼭 같이 방문해보려구요~ 외식외식!! 오예~무엇보다도 직원분들도 친절하셔서다시 방문하고싶은 마음 공감 꾸욱-♡
5.0,
5.0,
5.0,가격도 적당하고 생면파스타 너무맛있었어요
1.0,보통 이런 집오면 평타는 하는데..이집은 너무 맛 이없어요. 진짜 맛이없어요..이런 종류의 음식 먹고 이렇게 맛 없던 적은  몇년만인듯....못먹겠다
5.0,오래된 좋은 식당. 분위기가 아주 좋고 맛도 평균 이상입니다.
1.0,예전에는 괜찮았는데 점점 맛이 별로고 오늘은 정말 정점을 찍었죠. 다시는 안가도 될 듯합니다.
4.0,짜지 않은 적정한 맛. 싱싱한 토마토 소스. 얇은 두께의 피자과하거나 부족하지 않은 직원 응대전체적으로 만족스러운 곳
3.0,
3.0,이탈리안 레스토랑
