rating,review
5.0,너무너무 친절하고 빵도 너무 맛있습니다어떻게 직원분들이 하나같이 다 친절하신지 모르겠어요 제가 가본 카페말고도 그냥 매장 통틀어서 가장 친절하십니다 자주 방문하고싶은 카페 입니다
5.0,무화과.. 내 맘 속 별이 돼.소금빵전쟁에서 살아남는 소금빵그리고 직원분들이 한 분 한 분 다 친절하시고에너지가 넘치셔서 울적할 때 씩씩한 기운을 받고 갑니다!
5.0,진짜… 소금빵 1위무화과 먹는 순간 띵~ 감탄 연발했음다비교는 나쁜거라 하지만 ㅇㅌㅅㅌ보다 맛있어요그리고 직원분 저어어엉말 친절하세요(더운 날에도 웃는거 정말 쉽지 않은데..대단합니다)
5.0,제 맘 속 소금빵집 1위. 베통.트러플소금빵이 최애입니다진짜 맛있습니다..
5.0,"직원분이 무지무지무지 친절함.아마도 대한민국에서 최고로!!맛,분위기는 물론."
5.0,가본 소금빵 집 중에 1등인것 같아요..너무 맛있고 쫄깃하고 먹는부위마다 식감도 다르게 느낄수 있고 또가고 싶은 곳이예요. 기본소금빵이 제일로 좋네요😀  커피도 정말 맛나요 머신기부터 달라보여용
5.0,
4.0,소금빵 이 근방에서는 맛있는 편 속이 알찬 느낌이라고 해야하나 암튼 3번 이상 먹음직원들 친절한데 가끔 너무 과도하게 친절한 느낌이 있긴함 글고 인사할때 목소리가 너무 크신분이 있어서 쪼까 귀아픔 죄송문제는 소금빵이 너무 빨리 매진됌 3시에 가면 항상 매진이여서 걍 돌아옴 오픈~1시 사이에 갔을때는 성공하는 편이나 모든 맛이 다 있는건 아님최근에 갔더니(오픈 시간대) 밖에서 10분 안에서 10분 기다렸고 다른 시간대는 모르겠음 예전보다 인기 많아져서 먹기 힘듬 외국인들도 많이옴
4.0,¿
4.0,"직원분들이 너무 친절하셔요,,최고 🥹기본 소금빵 그냥 괜찮아요. 줄 설만한것도 아닌것 같아요. 샌드위치류는 왠만하면 드시지마세여 진짜 맛없으니까,,ㅎㅠ가격이 저렴하지도 않는데 버터랑 햄 좀 좋은거 끼워 넣으면 좋겠어요"
5.0,인생 소금빵 맛집. 너무 유명해짐.. 옛날엔 종류별 갯수 제한 2개였는데 이젠 종류별로 2개 제한도 여전하고 총 토탈 4개밖에 못 산다니.. 그럼에도 난 충성함.. 맛있으니까.. 그리고 한결같이 친절하시고 매장 방문할때마다 기분이 좋음. 성수점에 특히 머리 묶으시는 눈 크신 남성분.. 방문할때마다 괜히 친밀감 드네요.. 아아 참고로 추천메뉴는 역시 기본이랑 초코 !!! 종류별로 거진 다 먹어봤는데 무조건 이 2개는 사가야됨. ㅠㅠ 너무 유명해져서 이제 주말은 오픈런 아니면 답 없는 거 같고 날바날 이지만 평일인데도 1시에 초코나 기본 같이 제일 인기있는 애들은 없을 때도 있더라고요.. 그리고 평일 4시쯤엔 걍 빵 없다고 보면 됨..
5.0,성수 맨날 밤에 와서 빵이 이미 다 품절돼서 오늘 점심시간쯤 근처에 들었는데 오늘이다 싶었슴!! 근데 역시 플레인 벌써 품절되고 (이게 12시에 품절된대) 직원분이 추천하신 다른거 시켰습니다🥹🥹 너무 맛있어서 당황 🥹🥹🥹🥹밥 먹고 온건데 혼자서 1빵…🫶🏻그리고 소문그대로 직원분들 특히 결제해주신 남자분 너무 친절하세요 ㅋㅋㅋ 이게 서비스지 싶어요!!!!다음에 친구들이랑 가서 여러가지 맛 먹어보겠소!
5.0,기다리는 거 정말 싫어하는데 기다릴 만한 맛이 있어요! (5번 정도 갔는데 한 번 기다릴때 평균 40분 기다리는 것 같아요!) 역시 카카오맵 별점후기는 배신하지 않는구나 싶고요.. 직원분들 다 너무 친절하시고 빵이 처음 먹었을 때 너무 맛있었어요. 일본 손님이 진짜 많아요..
5.0,입구쪽에 안내해주시는 남자분(오늘 오전)이 너무 친절하셔서 일단 기분 좋아졌고 안에도 활기차고 계산해주신분도 친절하니 좋았어요.빵자체는 얇은부분이 굉장히 버터가 가득 바삭해서 거의 러스크수준이었고 빵부분은 생각보다 겉은 빵실해보이는데 버터동굴이 큰걸 떠나서  겉보기보다 빵의 밀도감이나 빵안의 살(?)이 조금 적어서 조금 아쉬웠어요(플레인은 그랬는데 무화과는 또 살짝빵실하네요. 빵바빵인가봐요)맛은 4점!! +친절도1점 (맛은 평타이상 진실의미간 미만)
5.0,왜 후기가 다 좋은지 한번에 이해 되는 곳이네요!! 직원분들 모두 정말 너무너무 친절하시고 제가 갔을땐 소금빵이 아쉽게도 없었지만 토마토 스프가 정말 맛있더라고요ㅠㅠ 또 가고싶은 곳어요!!
5.0,베통..신강 스위트파크에서 먹고 다음날 성수갔는데 소금빵 없었지만 비쏘리 빵...존맛👍 맛있어요 비쏘리에 진짜 미안한 감정이 느껴지는 진짜 맛있는 빵입니다
5.0,"들어설 때 직원들의 인사와, 안내 받고 주문 하는 순간 별점의 이유를 알 것 같았다. 맛있으면 평점을 작성해야겠다고 생각했다. 빵이 다 떨어져 준비하셨다는 일명 ‘sorry' 빵 손으로 찢어 먹는 순간 나는 ""Thank you""음료도 맛있었다. 기분 좋은 친절함에 하루 마무리가 좋다.다른 빵을 먹어보러 재방문 하지 않을 수가 없다."
5.0,오픈 초기엔 이정도까진 아니엇는데 ㅠㅠ 포장도 웨이팅이 길어져서 아쉬워요 ㅠㅠ 근데 줄서도 사먹게 되는 맛입니다.... ㅎㅎ... 그리고 직원분들 너무 친절하셔요. 특히 머리 묶으신 남자직원분 덕분에 갈때마다 기분 좋아집니다 ~! 조만간 또갈게요~~~
3.0,
5.0,
5.0,성수동의 수많은 카페들 중 최고 으뜸카페.크림치즈 소금빵과 망고스무디가 굉장히 맛있다.최고의 서비스와 활기찬 분위기는 덤.
5.0,맛있다길래 별 생각없이 갔다가 놀라서 돌아왔습니다 요즘 SNS에서 유명세 타는 맛집들과는 태도 자체가 다르신 것 같아요.. 직원분들 마인드가 존경스러운 수준입니다 공간도 멋있고 소금빵도 독특하고 종류도 많았구요 무엇보다 맛있었어요!!!!! 다음엔 여럿이서 가서 하나씩 다 맛보고 싶어요!!!! 그냥 소금빵 먹으러 간 건데 기분이 너무 좋아졌던 곳이라 제게 그런 경험을 선물해주신 베통 직원분들도 항상 행복하고 즐거운 날들만 가득하셨으면 좋겠어요💚
5.0,분위기도 좋고 직원분이 너무너무 밝고 친절해요소금빵은 다 팔려서 못샀지만 커피만 마셔도 좋아요
5.0,웨이팅 싫어하지만 줄 서있는 동안 따뜻한 물 주시면서 케어해주시는 친절한 직원분 덕분에 잘 참고 입장. 최고로 대단하게 맛있다고까지는 할 수 없지만 모든 직원들이 친절하기도 했고 무난무난 맛있어서 재방문 의사 있음. 인스타 카페인가 했는데 한번쯤 가볼만한 곳!
5.0,여기는 정말 소금빵 맛집으로 인정받을 만한 곳입니다. 직원 분들의 활기찬 에너지 덕분에 식사하는 동안 기분 좋게 즐길 수 있었습니다. 맛 또한 너무나 훌륭해서 재방문을 강력히 원하게 만드는 곳입니다.
